"CRN","ACCESS_CTRL","COUNTY","LANE_COUNT","OFFSET","RAMP","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2013034200","","2","04","","0","W","4","4.0","","","35.0","CORLISS ST"
"2013034200","3.0","2","2","0.0","0","B","3","2.0","0051","","35.0","WEST CARSON ST"
"2013131570","","2","02","","0","U","4","4.0","","","25.0","WEST ST"
"2013131570","","2","02","","0","E","3","4.0","","","25.0","12TH AV"
"2013044295","","2","02","","0","N","5","4.0","","","25.0","ROUP AV"
"2013044295","3.0","2","2","0.0","0","E","3","2.0","0400","","55.0","BAUM BL"
"2013044295","3.0","2","2","0.0","0","W","4","2.0","0400","","55.0","BAUM BL"
"2013108305","1.0","2","03","1500.0","0","S","3","1.0","0079","","55.0","RAYMOND P SHAFER HW"
"2013001311","1.0","2","2","1877.0","0","W","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2013101946","3.0","2","2","953.0","0","N","3","2.0","0837","","40.0","KENNYWOOD BL"
"2013048404","","2","02","","0","N","3","4.0","","","35.0","ALPHA DR"
"2013005619","3.0","2","2","362.0","0","S","3","2.0","0885","","35.0","CLAIRTON RD"
"2013064210","","2","02","","0","E","3","4.0","","","25.0","THIRD AV"
"2013064210","","2","02","","0","S","4","4.0","","","25.0","CHERRY WY"
"2013091729","","2","02","","0","E","4","4.0","","","25.0","ALPINE RD"
"2013091729","3.0","2","2","0.0","0","N","3","2.0","3003","","35.0","WASHINGTON PK"
"2013103799","","2","02","","0","S","4","4.0","","","25.0","FOURTH ST"
"2013103799","","2","02","","0","E","3","4.0","","","25.0","PENNSYLVANIA AV"
"2013042311","","2","04","","0","E","3","4.0","","","25.0","LIBERTY AV"
"2013042311","","2","04","","0","S","4","4.0","","","25.0","ELEVENTH ST"
"2013051368","3.0","2","2","310.0","0","N","5","2.0","0837","","35.0","WEST CARSON ST"
