"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2024081123","Y","Y","U","Y","U","Y","1","Y","Y","01746","N","","","","","","","","N","1"
"2024088823","Y","U","Y","Y","U","Y","1","Y","Y","00400","N","","","","","","","","N","1"
"2024039795","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2024106968","U","N","N","Y","Y","Y","1","Y","Y","00296","N","","","","","","","","N","1"
"2024037966","N","Y","U","Y","Y","Y","3","Y","Y","01200","N","","","","","","","","N","2"
"2024073525","N","U","Y","Y","U","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2024100473","U","U","U","U","U","U","3","Y","Y","01304","N","","","","","","","","N","2"
"2024085992","U","U","Y","U","U","Y","1","Y","Y","00900","N","","","","","","","","N","2"
"2024093303","","","","","","","","","","","","","","","","","","","","2"
"2024041879","U","Y","U","U","N","N","0","Y","Y","01200","N","","","","","","","","N","1"
"2024090364","Y","Y","U","Y","U","U","3","Y","Y","00250","N","","","","","","","","N","1"
"2024095597","Y","Y","Y","Y","Y","Y","1","Y","Y","01450","N","","","","","","","","N","1"
"2024078440","Y","Y","N","Y","N","N","0","Y","N","18700","N","","","","","","","","N","2"
"2024071512","Y","U","U","U","U","U","9","Y","N","20000","N","","","","","","","","N","1"
"2024082055","N","N","U","N","N","N","0","N","N","00250","N","","","","","","","","N","1"
"2024093553","Y","N","Y","Y","N","N","0","Y","N","65200","N","","","","","","","","N","1"
"2024095557","Y","Y","Y","Y","Y","Y","3","Y","Y","01450","N","","","","","","","","N","1"
"2024088287","N","Y","Y","Y","Y","Y","1","Y","Y","64500","N","","","","","","","","N","2"
"2024087728","","","","","","","","","","","","","","","","","","","","1"
"2024054757","Y","Y","Y","Y","Y","Y","1","Y","Y","01100","N","","","","","","","","N","1"
"2024072007","N","N","U","Y","Y","Y","1","Y","N","01200","N","","","","","","","","N","1"
"2024050385","Y","U","U","Y","U","U","9","U","U","00000","N","","","","","","","","N","2"
"2024093242","","","","","","","","","","","","","","","","","","","","2"
"2024045781","U","U","Y","Y","U","Y","1","Y","Y","00250","N","","","","","","","","N","1"
"2024085140","","","","","","","","","","","","","","","","","","","","2"
"2024084553","N","N","N","Y","U","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2024093410","","","","","","","","","","","","","","","","","","","","1"
"2024067637","","","","","","","","","","","","","","","","","","","","2"
"2024086560","Y","N","Y","Y","Y","Y","1","Y","Y","00599","N","","","","","","","","N","2"
"2024027995","N","Y","N","N","N","N","0","Y","Y","01350","N","","","","","","","","N","1"
"2024045795","N","N","N","Y","U","Y","1","Y","Y","01000","N","","","","","","","","N","2"
"2024070425","Y","N","N","N","U","Y","1","N","N","00049","N","","","","","","","","N","1"
"2025018625","N","N","U","Y","Y","N","1","Y","Y","00300","N","","","","","","","","N","2"
"2024020483","N","U","U","Y","U","Y","1","Y","Y","99999","N","","","","","","","","N","1"
"2024072570","N","Y","N","Y","N","N","0","Y","N","00950","N","","","","","","","","N","1"
"2024072570","N","Y","N","Y","N","N","0","Y","Y","01100","Y","Y","Y","N","N","0","Y","Y","N","2"
"2024093569","","","","","","","","","","","","","","","","","","","","1"
"2025021752","Y","Y","Y","Y","Y","Y","3","Y","Y","14500","N","","","","","","","","N","1"
"2025018079","N","N","U","N","N","N","0","N","N","50000","N","","","","","","","","N","1"
"2024063289","Y","Y","U","Y","N","N","0","Y","Y","12022","N","","","","","","","","N","2"
"2024020669","N","N","U","U","U","Y","9","N","N","99999","N","","","","","","","","N","2"
"2024044849","Y","Y","U","U","U","N","0","U","U","01584","N","","","","","","","","N","1"
"2024041271","N","N","N","N","N","N","0","N","N","","N","","","","","","","","N","2"
"2024116757","N","N","N","N","N","N","0","Y","N","99900","N","","","","","","","","N","2"
"2024087606","N","U","U","Y","U","Y","1","Y","U","30000","N","","","","","","","","N","2"
"2024047511","N","Y","U","N","Y","Y","1","Y","Y","00600","N","Y","N","Y","Y","1","Y","Y","N","2"
"2024055274","Y","N","Y","Y","N","N","0","Y","N","01745","Y","N","N","N","N","0","N","N","N","1"
"2024080448","N","U","Y","Y","Y","Y","1","Y","N","00600","N","","","","","","","","N","1"
"2024084987","U","Y","U","U","U","U","9","Y","U","99999","N","","","","","","","","N","2"
"2024049767","Y","N","N","N","U","N","0","Y","Y","17460","N","","","","","","","","N","1"
"2024097300","N","N","N","Y","N","N","0","Y","Y","00883","N","","","","","","","","N","1"
"2024061948","","","","","","","","","","","","","","","","","","","","2"
"2024066192","Y","N","Y","U","N","N","0","N","N","01300","N","","","","","","","","N","2"
"2024096303","Y","N","Y","N","U","","0","Y","N","01000","N","","","","","","","","N","1"
