"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH_IND","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","HAZMAT_IND","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","NON_MOTORIST","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE_CD","VEH_TYPE","VINA_BODY_TYPE_CD"
"2006062950","","12","N","3","1","","1","N","11","Y","CHRY","2002","","","","","","","","0","01","1C4GJ25302B","1","","1","00","Y","N","999","0","","1","1","04","01","01","PA","1","7.0","PSV"
"2006062950","","12","N","3","1","","1","N","11","Y","KIA","2004","","","","","","","","0","02","KNDUP131846","6","","1","00","Y","S","999","0","","2","1","03","01","01","PA","2","7.0","PSV"
"2006046109","","03","N","2","1","","1","N","06","Y","ACUR","1995","","","","","","","","0","02","JH4DC4345SS","1","","1","00","N","N","025","0","","1","1","02","02","01","PA","2","1.0","P2H"
"2006046109","","04","N","3","1","","1","N","12","Y","DODG","2003","","","","","","","","0","01","1B3ES56C63D","1","","1","00","Y","N","999","0","","2","1","02","01","01","PA","1","1.0","P4D"
"2006122816","","04","N","3","1","","1","N","01","Y","TOYT","2005","","","","","","","","0","02","2T1BR32E65C","1","","1","00","Y","W","099","0","","1","1","07","01","09","PA","1","1.0","P4D"
"2006122816","","04","N","3","1","","1","N","04","Y","CHEV","2003","","","","","","","","0","02","2G1WF52EX39","1","","1","00","Y","E","099","0","","2","1","03","01","99","PA","2","1.0","P4D"
"2006091053","","50","N","1","1","","3","N","05","Y","FORD","2003","","","","","","","","0","02","1FTNX20F93E","1","","9","00","N","S","999","0","","1","1","03","14","98","TX","1","4.0","T4C"
"2006091053","","50","N","2","2","","2","N","01","Y","TOYT","2002","","","","","","","","1","","5TBBT48142S","0","","9","00","Y","","000","0","","2","2","12","06","09","PA","2","4.0","T4C"
"2006201865","","40","N","9","9","","9","N","01","Y","DODG","2000","","","","","","","","0","02","2B4GP2534YR","1","","3","00","Y","N","999","0","","1","1","99","17","01","PA","1","7.0","PSV"
"2006082886","","12","N","2","1","","1","N","01","Y","CHRY","2002","","","","","","","","0","02","1C4GJ25372B","1","","1","00","Y","S","055","0","","1","1","01","01","03","PA","1","7.0","PSV"
"2006082886","","04","N","2","1","","1","N","11","Y","CHRY","1986","","","","","","","","0","01","1C3BF66P6GX","1","","1","00","N","S","055","0","","2","1","03","01","03","PA","2","1.0","P4D"
"2006128510","","51","N","3","1","","2","N","09","Y","CHEV","2000","","","","","","","","0","01","1GCCS1452YK","2","","4","00","Y","E","045","0","","1","1","03","16","08","PA","1","4.0","TPK"
"2006128510","","04","N","2","1","","3","N","09","Y","DODG","2006","","","","","","","","0","01","1B3EL46X56N","1","","1","00","N","W","025","0","","2","1","12","01","01","PA","2","1.0","P4D"
"2007000329","","75","Y","1","1","","1","N","08","Y","MACK","2001","","","","","","","","0","02","1M1AA12Y51W","1","","1","21","N","N","025","1","","1","1","02","01","04","IL","1","5.0","TDS"
"2007000329","","01","N","3","1","","1","N","11","Y","CHRY","2002","","","","","","","","0","01","1C3EL75R62N","1","","1","00","Y","S","030","0","","2","1","12","01","01","PA","3","1.0","PCV"
"2007000329","","88","N","1","2","","1","N","09","N","OTHR","","","","","","","","","1","","","0","","1","00","N","N","000","0","","3","2","05","06","98","","2","18.0",""
"2006056611","","12","N","3","1","","2","N","01","Y","DODG","2005","","","","","","","","0","02","1D4GP25B55B","5","","1","00","Y","W","005","0","","1","1","02","12","04","PA","2","7.0","PSV"
"2006056611","","04","N","2","1","","3","N","12","Y","TOYT","2004","","","","","","","","0","02","2T1BR32E94C","1","","1","00","N","E","020","0","","2","1","07","04","01","PA","1","1.0","P4D"
"2006108330","","03","N","3","1","","1","N","01","Y","FORD","1995","","","","","","","","0","02","1FASP11J4SW","1","","1","00","Y","S","035","0","","1","1","02","15","06","OH","1","1.0","P2H"
"2006085336","","04","N","3","1","","1","N","02","Y","CHEV","2002","","","","","","","","0","07","2G1WF55K429","1","","1","03","Y","E","999","0","","1","1","03","12","98","PA","1","1.0","P4D"
"2006017744","","09","N","3","1","","1","N","12","U","HOND","9999","","","","","","","","0","99","","1","","1","00","Y","W","999","0","","1","1","01","01","01","ZZ","1","1.0",""
"2006059147","","02","N","0","1","","1","N","12","U","PONT","2005","","","","","","","","0","01","3G2JB12F455","1","","1","00","N","U","010","0","","1","1","07","01","06","WV","1","1.0","PCP"
"2006059147","","","N","3","1","","1","N","03","N","","","U","99.0","0.0","9.0","U","99.0","U","0","00","","1","","1","00","N","U","999","0","","2","30","","99","98","","2","20.0",""
"2011123327","","04","N","3","1","","1","N","11","Y","MITS","2003","","","","","","","","0","02","4A3AA46G93E","1","","4","00","Y","W","020","0","","1","1","07","16","07","MD","1","1.0","P4D"
"2011123327","","15","N","3","2","","1","N","01","Y","CHEV","2005","","","","","","","","1","","2CNDL73F656","0","","2","00","Y","","000","0","","2","2","08","06","12","PA","2","6.0","PUT"
