"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH_IND","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","HAZMAT_IND","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","NON_MOTORIST","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE_CD","VEH_TYPE","VINA_BODY_TYPE_CD"
"2019078703","","15","N","3","1","","1","N","12","Y","JEEP","2014","","","","","","","","0","01","1C4NJRFBXED","1","","1","00","Y","W","040","","","1","1","05","01","03","OH","1","6.0","T4W"
"2019078703","","09","N","2","1","","1","N","06","Y","MAZD","2018","","","","","","","","0","01","3MZBN1L39JM","1","","1","00","N","W","000","","","2","1","07","03","03","PA","3","1.0","P"
"2019094079","","51","N","3","1","","1","N","12","Y","DODG","1996","","","","","","","","0","01","3B7KF23C8TM","1","","1","00","Y","S","030","1","","1","1","03","01","01","OH","1","4.0","TPC"
"2019094079","","04","N","3","1","","1","N","06","Y","SUBA","2010","","","","","","","","0","01","JF1GE6A69AH","1","","1","00","Y","S","000","","","2","1","03","03","01","PA","3","1.0","P4D"
"2019094079","","15","N","1","1","","1","N","06","Y","HOND","2013","","","","","","","","0","01","5FNYF4H27DB","1","","1","00","N","S","000","","","3","1","05","03","01","PA","2","6.0","T4W"
"2019094079","","04","N","1","1","","1","N","06","Y","HOND","1999","","","","","","","","0","01","1HGCG6656XA","1","","1","00","N","S","000","","","4","1","07","03","01","CO","2","1.0","P4D"
"2019102302","","69","N","1","1","","1","N","01","Y","CHEV","2018","","","","","","","","0","01","1GCNKNEC3JZ","1","","1","00","N","E","999","0","","1","1","09","01","01","PA","1","4.0","T"
"2019102302","","69","N","3","1","","1","N","11","Y","SUBA","2019","","","","","","","","0","01","4S4WMARD9K3","1","","1","00","Y","N","999","0","","2","1","09","01","01","PA","2","6.0","T"
"2019023999","","04","N","1","1","","1","N","06","Y","MERZ","2004","","","","","","","","0","01","WDBRF81J54F","1","","1","00","N","W","000","0","","1","1","02","03","01","PA","2","1.0","P4D"
"2019023999","","04","N","3","1","","1","N","12","Y","HOND","2008","","","","","","","","0","01","1HGCP26348A","1","","1","00","Y","W","999","0","","2","1","07","01","01","PA","1","1.0","P4D"
"2019078703","","02","N","1","1","","1","N","06","Y","CHEV","2010","","","","","","","","0","02","1G1AB1F59A7","1","","1","00","N","W","000","","","3","1","02","03","03","PA","2","1.0","PCP"
"2019045702","","69","N","1","1","","3","N","11","Y","KIA","2018","","","","","","","","0","01","KNDCB3LC9J5","1","","1","00","N","S","999","0","","1","1","01","01","01","PA","2","6.0","T"
"2019045702","","04","N","3","1","","1","N","02","U","CHEV","2011","","","","","","","","0","01","2G1WF5EK8B1","1","","1","00","Y","W","999","0","","2","1","07","01","01","PA","2","1.0","P4D"
"2019023836","","09","N","2","1","","2","N","12","Y","MAZD","2018","","","","","","","","0","01","3MZBN1V30JM","1","","1","00","Y","S","025","0","","1","1","01","01","03","PA","1","1.0","P"
"2019023836","","69","N","2","1","","1","N","09","Y","HOND","2016","","","","","","","","0","01","3CZRU6H76GM","1","","1","00","Y","E","015","0","","2","1","03","01","02","PA","2","1.0","T"
"2019114122","","04","N","1","1","","1","N","01","Y","SUBA","2014","","","","","","","","0","01","4S3BMBL67E3","1","","1","00","N","W","999","0","","1","1","01","01","01","PA","1","1.0","P4D"
"2019114122","","","","","","","","N","","","","","U","1.0","99.0","0.0","U","1.0","U","0","00","","1","","","","","","","","","2","30","","99","99","","2","31.0",""
"2019134551","","51","N","3","1","","3","N","12","Y","FORD","2012","","","","","","","","0","01","1FTFX1EF6CF","1","","3","00","Y","N","025","0","","1","1","01","98","98","PA","0","1.0","T4C"
"2019126163","","15","N","3","1","","1","N","11","Y","NISS","2013","","","","","","","","0","01","JN8AS5MV4DW","1","","1","00","Y","S","040","0","","1","1","02","01","03","PA","1","1.0","T4W"
"2019126163","","04","N","3","1","","1","N","09","Y","CHEV","2008","","","","","","","","0","01","1G1ZG57B18F","1","","1","00","Y","E","010","0","","2","1","12","18","07","PA","2","1.0","P4D"
"2019059979","","04","N","3","1","","1","N","11","Y","TOYT","2017","","","","","","","","0","01","2T1BURHE4HC","1","","1","00","Y","W","999","0","","1","1","07","01","01","PA","2","1.0","P4D"
"2019059979","","15","N","3","1","","1","N","12","Y","PONT","2008","","","","","","","","0","02","2CKDL33F286","1","","1","00","Y","E","999","0","","2","1","05","12","01","PA","1","6.0","T4W"
"2019040994","","69","N","2","1","","1","N","12","Y","FORD","2019","","","","","","","","0","03","1FTEW1E44KF","1","","1","00","N","N","999","0","","1","1","03","02","01","OK","1","4.0","T"
"2019040994","","51","N","1","1","","1","N","06","Y","DODG","2009","","","","","","","","0","01","1D3HV18T49S","2","","1","00","N","N","000","0","","2","1","06","03","01","PA","2","4.0","TCW"
"2019108852","","04","N","2","1","","1","N","12","Y","CHEV","2010","","","","","","","","0","02","1G1AF5F53A7","1","","1","00","N","E","999","0","","1","1","02","01","06","PA","1","1.0","P4D"
"2019108852","","04","N","2","1","","1","N","12","Y","TOYT","2014","","","","","","","","0","01","4T4BF1FK6ER","2","","1","00","N","W","999","0","","2","1","07","01","01","PA","2","1.0","P4D"
"2019047713","","09","N","3","1","","3","N","12","Y","NISS","2017","","","","","","","","0","01","3N1AB7AP3HY","1","","1","00","Y","S","999","0","","1","1","01","01","01","PA","1","1.0","P"
"2019047713","","04","N","1","1","","3","N","06","Y","NISS","2011","","","","","","","","0","01","3N1AB6AP2BL","1","","1","00","N","S","999","0","","2","1","01","01","01","PA","2","1.0","P4D"
"2019099628","","04","N","3","1","","1","N","11","Y","FORD","2016","","","","","","","","0","01","1FADP3J20GL","1","","1","00","Y","S","999","0","","1","1","02","12","07","PA","2","1.0","P4D"
"2019099628","","04","N","3","1","","1","N","12","Y","NISS","2015","","","","","","","","0","02","3N1AB7AP0FY","1","","1","00","Y","W","999","0","","2","1","07","01","01","PA","1","1.0","P4D"
"2019040547","","04","N","3","1","","1","N","11","U","VOLK","2005","","","","","","","","0","02","3VWSF71K75M","2","","1","00","Y","W","040","0","","1","1","01","01","01","PA","1","1.0","P4D"
"2019037198","","04","N","3","1","","2","N","12","Y","SUBA","2010","","","","","","","","0","01","4S3BMBA68A3","1","","1","00","Y","N","999","0","","1","1","12","01","03","PA","1","1.0","P4D"
"2019037198","","15","N","2","1","","2","N","06","Y","JEEP","2016","","","","","","","","0","01","1C4RJFCG5GC","1","","1","00","Y","N","010","0","","2","1","05","02","03","PA","2","6.0","T4W"
"2019102377","","69","N","3","1","","2","N","12","Y","FORD","2019","","","","","","","","0","03","1FTYR1ZM7KK","1","","1","00","Y","E","999","0","","1","1","03","01","03","AZ","1","7.0","T"
"2019102377","","15","N","2","1","","2","N","06","N","FORD","2013","","","","","","","","0","02","1FM5K7F81DG","4","","1","00","N","E","000","0","","2","1","02","03","03","TN","3","6.0","T4W"
"2019102377","","69","N","1","1","","2","N","06","Y","JEEP","2010","","","","","","","","0","02","1J4NF1FB2AD","1","","1","00","N","E","000","0","","3","1","05","03","03","PA","2","6.0","T"
"2019024649","","15","N","3","1","","2","N","03","Y","HOND","2014","","","","","","","","0","01","5J6RM4H36EL","1","","1","00","Y","E","999","","","1","1","02","01","01","PA","1","6.0","T4W"
"2019061693","","15","N","1","1","","1","N","09","Y","FORD","2016","","","","","","","","0","01","1FM5K8D82GG","1","","1","00","N","S","999","0","","1","1","05","01","01","PA","1","6.0","T4W"
"2019061693","","04","N","3","1","","1","N","12","Y","LEXS","2013","","","","","","","","0","01","JTHBK1GG8D2","1","","1","00","Y","W","999","0","","2","1","03","01","01","PA","2","1.0","P4D"
"2019076349","1","04","N","3","1","0","2","N","12","U","CHEV","2000","","","","","","","","0","01","1Y1SK5289YZ","1","12","1","00","Y","N","999","0","0","1","1","12","01","01","OH","1","1.0","P4D"
"2019084941","","39","Y","1","1","","1","N","12","Y","GILG","2014","","","","","","","","0","08","15GGD2718E1","2","","1","12","N","S","999","0","","1","1","99","01","01","PA","1","3.0","TBU"
"2019084941","","15","N","1","1","","1","N","06","Y","LEXS","2006","","","","","","","","0","02","JTJHW31U760","1","","1","00","N","S","999","0","","2","1","99","01","01","PA","2","6.0","T4W"
"2019094326","","69","Y","3","1","","1","N","12","Y","INTL","2019","","","","","","","","0","03","1HTMMMML9KH","1","","1","00","Y","E","999","0","","1","1","06","01","01","VA","1","5.0","T"
"2019094326","","04","N","3","1","","1","N","06","Y","DODG","2016","","","","","","","","0","01","1C3CDFFA0GD","1","","1","00","Y","E","999","0","","2","1","05","02","01","PA","1","1.0","P4D"
"2019094326","","04","N","3","1","","1","N","06","Y","SUBA","2017","","","","","","","","0","01","4S3BNEN66H3","1","","1","00","Y","E","999","0","","3","1","07","02","01","PA","1","1.0","P4D"
"2019094326","","01","N","3","1","","1","N","06","Y","MERZ","2013","","","","","","","","0","01","WDDKK5KF6DF","1","","1","00","Y","E","999","0","","4","1","03","02","01","PA","1","1.0","PCV"
"2019094326","","69","Y","1","1","","1","N","06","Y","ISU","2018","","","","","","","","0","02","54DC4W1B3JS","1","","1","00","N","E","999","0","","5","1","01","02","01","PA","2","5.0","T"
"2019011676","","15","N","3","1","","1","N","11","Y","DODG","2013","","","","","","","","0","01","1C4RDJDG2DC","2","","1","00","Y","N","035","0","","1","1","03","01","01","PA","1","6.0","T4W"
"2019011676","","12","N","2","1","","1","N","09","Y","JEEP","2014","","","","","","","","0","01","1C4AJWBG7EL","1","","1","00","N","S","010","0","","2","1","12","12","01","PA","2","6.0","T2W"
"2019116448","","15","N","1","1","","1","N","12","Y","JEEP","2016","","","","","","","","0","01","1C4HJWDG0GL","1","","1","00","N","E","999","0","","1","1","03","01","03","PA","1","6.0","T4W"
"2019116448","","02","N","2","1","","1","N","06","Y","HOND","2010","","","","","","","","0","01","2HGFG1B69AH","1","","1","00","Y","E","000","0","","2","1","07","03","03","PA","2","1.0","PCP"
"2019021319","","15","N","3","1","","1","N","01","Y","LEXS","2011","","","","","","","","0","01","2T2ZK1BA4BC","2","","3","00","Y","S","050","0","","1","1","05","17","03","PA","1","6.0","T4W"
"2019115727","","12","N","3","1","","1","N","12","Y","CHEV","1992","","","","","","","","0","02","1GNCT18Z4N0","1","","1","00","Y","N","999","0","","1","1","02","01","01","PA","1","1.0","T2W"
"2019115727","","41","N","3","1","","1","N","09","Y","DODG","2007","","","","","","","","0","02","2D4GP44L07R","2","","1","00","Y","W","999","0","","2","1","01","01","01","OH","2","1.0","TES"
"2019122319","","04","N","3","1","","3","N","01","Y","KIA","2009","","","","","","","","0","01","KNAFE222X95","1","","1","00","Y","N","999","0","","1","1","03","12","04","PA","1","1.0","P4D"
"2019122319","","15","N","3","1","","3","N","12","Y","BUIC","2010","","","","","","","","0","02","5GALVCED1AJ","2","","1","00","Y","S","999","0","","2","1","07","01","01","PA","2","6.0","T4W"
"2019075529","","04","N","1","1","","1","N","03","Y","CADI","2012","","","","","","","","0","01","1G6DV5EP3C0","1","","2","00","N","S","040","","","1","1","05","15","03","PA","1","1.0","P4D"
"2019075529","","04","N","3","1","","1","N","09","Y","HOND","2013","","","","","","","","0","02","19XFB2F50DE","1","","3","00","Y","S","040","","","2","1","05","17","01","PA","3","1.0","P4D"
"2019090485","","04","N","3","1","","3","N","12","U","VOLK","2008","","","","","","","","0","02","3VWRZ71K48M","2","","1","00","Y","U","035","0","","1","1","02","99","08","PA","1","1.0","P4D"
"2019058103","","09","N","3","1","","1","N","12","Y","HOND","2018","","","","","","","","0","02","2HGFC2F57JH","2","","1","00","Y","S","025","0","","1","1","05","01","01","DE","1","1.0","P"
"2019058103","","15","N","3","1","","1","N","06","Y","HOND","2003","","","","","","","","0","01","5J6YH285X3L","2","","1","00","Y","S","015","0","","2","1","01","02","01","PA","2","6.0","T4W"
"2019063811","","15","N","3","1","","2","N","11","Y","VOLV","2012","","","","","","","","0","02","YV4940DZ2C2","1","","4","00","Y","E","025","0","","1","1","03","16","01","PA","1","6.0","T4W"
"2019132907","","09","N","1","1","","3","N","12","Y","TOYT","2018","","","","","","","","0","01","5YFBURHE5JP","1","","1","00","N","U","999","0","","1","1","03","12","04","PA","1","1.0","P"
"2019033998","","39","Y","1","1","","1","N","03","Y","BLUI","2010","","","","","","","","0","02","1BAKBCPH4AF","1","","1","00","N","E","999","","","1","1","06","01","01","PA","1","3.0","TBU"
"2019033998","","69","N","3","1","","1","N","11","Y","NISS","2018","","","","","","","","0","01","JN8AT2MV3JW","1","","1","00","Y","E","025","0","","2","1","05","10","01","CA","2","6.0","T"
"2019085566","","09","N","3","1","","2","N","12","Y","TOYT","2018","","","","","","","","0","03","2T1BURHE8JC","1","","1","00","Y","E","999","0","","1","1","02","01","98","OK","1","1.0","P"
"2019124219","","04","N","3","1","","1","N","12","Y","TOYT","2003","","","","","","","","0","01","4T1BE32K13U","2","","1","00","Y","S","040","","","1","1","12","01","06","PA","1","1.0","P4D"
"2019124219","","03","N","1","1","","1","N","06","Y","TOYT","2009","","","","","","","","0","01","JTKDE167590","1","","1","00","N","S","000","","","2","1","01","03","06","PA","2","1.0","P2H"
