"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2019054042","N","U","U","Y","Y","Y","1","Y","N","00600","Y","N","Y","Y","Y","1","N","N","N","2"
"2019062891","U","U","U","U","U","U","9","U","U","99999","Y","U","U","U","U","9","U","U","U","2"
"2019037124","Y","Y","N","Y","Y","Y","3","Y","Y","01800","N","","","","","","","","N","1"
"2019074977","N","Y","N","Y","N","N","0","Y","N","01688","N","","","","","","","","N","2"
"2019087223","N","U","U","U","N","N","0","Y","U","01200","N","","","","","","","","N","1"
"2019099123","","","","","","","","","","","","","","","","","","","","1"
"2019036850","","","","","","","","","","","","","","","","","","","","2"
"2019078189","N","N","U","Y","N","N","0","Y","N","01200","N","","","","","","","","N","1"
"2019072666","","","","","","","","","","","","","","","","","","","","1"
"2019015303","","","","","","","","","","","","","","","","","","","","2"
"2019082842","Y","U","Y","N","N","N","0","Y","N","00883","N","","","","","","","","N","2"
"2019067381","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2019047824","N","U","N","Y","N","N","0","Y","Y","01130","Y","N","Y","N","N","0","N","Y","N","1"
"2019078203","Y","Y","U","Y","U","Y","3","Y","Y","01450","N","","","","","","","","N","2"
"2019077530","Y","U","U","N","N","N","0","U","N","01450","N","","","","","","","","N","2"
"2019065957","U","N","N","U","Y","U","1","Y","N","00599","N","","","","","","","","N","1"
"2019109822","U","U","Y","N","N","N","0","U","U","00900","N","","","","","","","","N","2"
"2019064627","Y","Y","Y","Y","Y","Y","3","Y","N","01300","N","","","","","","","","N","1"
"2020021270","N","U","U","Y","Y","Y","9","Y","Y","00448","N","","","","","","","","N","2"
"2019095245","Y","U","U","Y","N","N","0","Y","Y","00107","N","","","","","","","","N","1"
"2019075434","","","","","","","","","","","","","","","","","","","","1"
"2019076008","","","","","","","","","","","","","","","","","","","","1"
"2019133400","","","","","","","","","","","","","","","","","","","","1"
"2019077946","N","Y","U","Y","Y","Y","1","Y","N","00500","N","","","","","","","","N","1"
"2019081686","Y","N","Y","N","N","N","0","N","N","00250","N","","","","","","","","N","1"
"2019081742","Y","U","Y","Y","N","N","0","Y","N","01200","N","","","","","","","","N","1"
"2019060025","U","U","U","U","U","U","9","U","U","00650","N","","","","","","","","U","2"
"2019060053","N","Y","U","Y","","","0","Y","N","01300","N","","","","","","","","N","2"
"2019086584","Y","U","U","Y","Y","Y","3","Y","N","01450","N","","","","","","","","N","1"
"2019084618","","","","","","","","","","","","","","","","","","","","1"
"2019041417","N","U","U","U","U","U","9","U","U","01000","N","","","","","","","","N","1"
"2019125616","Y","Y","U","Y","N","N","0","Y","Y","01500","N","","","","","","","","N","1"
"2019091382","U","N","Y","N","N","N","0","Y","N","00500","N","","","","","","","","N","2"
"2019056140","N","U","Y","Y","U","Y","1","Y","N","00650","N","","","","","","","","N","1"
"2019058230","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","2"
"2019087930","","","","","","","","","","","","","","","","","","","","3"
"2019087163","N","U","U","U","U","U","9","U","U","00805","N","","","","","","","","N","1"
"2019063832","N","N","N","Y","Y","Y","1","Y","Y","01000","N","","","","","","","","N","1"
"2019041732","","","","","","","","","","","","","","","","","","","","2"
